school_name,school_location,ncaa_division,conference_name
Northwest Nazarene University,"Nampa, Idaho",NCAA Division 2,GNAC
Northwestern Oklahoma State University,"Alva, Oklahoma",NCAA Division 2,GAC
Northwood University,"Midland, Michigan",NCAA Division 2,GLIAC
Notre Dame College,"Cleveland, Ohio",NCAA Division 2,Mountain East
Nova Southeastern University,"Fort Lauderdale, Florida",NCAA Division 2,Sunshine State
Ohio Dominican University,"Columbus, Ohio",NCAA Division 2,GMAC
Oklahoma Baptist University,"Shawnee, Oklahoma",NCAA Division 2,GAC
Oklahoma Christian University,"Edmond, Oklahoma",NCAA Division 2,Lone Star
Ouachita Baptist University,"Arkadelphia, Arkansas",NCAA Division 2,GAC
Pace University,"New York, New York",NCAA Division 2,Northeast-10
Paine College,"Augusta, Georgia",NCAA Division 2,SIAC
Palm Beach Atlantic University,"West Palm Beach, Florida",NCAA Division 2,Sunshine State
Pittsburg State University,"Pittsburg, Kansas",NCAA Division 2,MIAA
Point Loma Nazarene University,"San Diego, California",NCAA Division 2,Pacific West
Post University,"Waterbury, Connecticut",NCAA Division 2,CACC
Queens University of Charlotte,"Charlotte, North Carolina",NCAA Division 2,South Atlantic
Quincy University,"Quincy, Illinois",NCAA Division 2,GLVC
Regis University,"Denver, Colorado",NCAA Division 2,Rocky Mountain (RMAC)
Roberts Wesleyan College,"Rochester, New York",NCAA Division 2,ECC
Rockhurst University,"Kansas City, Missouri",NCAA Division 2,GLVC
Rollins College,"Winter Park, Florida",NCAA Division 2,Sunshine State
Saginaw Valley State University,"University Center, Michigan",NCAA Division 2,GLIAC
Saint Anselm College,"Manchester, New Hampshire",NCAA Division 2,Northeast-10
Saint Augustine's University,"Raleigh, North Carolina",NCAA Division 2,CIAA
Saint Cloud State University,"Saint Cloud, Minnesota",NCAA Division 2,Northern Sun
Saint Edward's University,"Austin, Texas",NCAA Division 2,Lone Star
Saint Leo University,"Saint Leo, Florida",NCAA Division 2,Sunshine State
Saint Martin's University,"Lacey, Washington",NCAA Division 2,GNAC
Saint Michael's College,"Colchester, Vermont",NCAA Division 2,Northeast-10
Salem University,"Salem, West Virginia",NCAA Division 2,ECAC
San Francisco State University,"San Francisco, California",NCAA Division 2,CCAA
Savannah State University,"Savannah, Georgia",NCAA Division 2,SIAC
Seattle Pacific University,"Seattle, Washington",NCAA Division 2,GNAC
Seton Hill University,"Greensburg, Pennsylvania",NCAA Division 2,PSAC
Shaw University,"Raleigh, North Carolina",NCAA Division 2,CIAA
Shepherd University,"Shepherdstown, West Virginia",NCAA Division 2,PSAC
Shippensburg University of Pennsylvania,"Shippensburg, Pennsylvania",NCAA Division 2,PSAC
Shorter University,"Rome, Georgia",NCAA Division 2,Gulf South
Slippery Rock University of Pennsylvania,"Slippery Rock, Pennsylvania",NCAA Division 2,PSAC
Sonoma State University,"Rohnert Park, California",NCAA Division 2,CCAA
South Dakota School of Mines and Technology,"Rapid City, South Dakota",NCAA Division 2,Rocky Mountain (RMAC)
Southeastern Oklahoma State University,"Durant, Oklahoma",NCAA Division 2,GAC
Southern Arkansas University Main Campus,"Magnolia, Arkansas",NCAA Division 2,GAC
Southern Connecticut State University,"New Haven, Connecticut",NCAA Division 2,Northeast-10
Southern Nazarene University,"Bethany, Oklahoma",NCAA Division 2,GAC
Southern New Hampshire University,"Manchester, New Hampshire",NCAA Division 2,Northeast-10
Southern Wesleyan University,"Central, South Carolina",NCAA Division 2,Conference Carolinas
Southwest Baptist University,"Bolivar, Missouri",NCAA Division 2,GLVC
Southwest Minnesota State University,"Marshall, Minnesota",NCAA Division 2,Northern Sun
Southwestern Oklahoma State University,"Weatherford, Oklahoma",NCAA Division 2,GAC
Spring Hill College,"Mobile, Alabama",NCAA Division 2,SIAC
St. Mary's University,"San Antonio, Texas",NCAA Division 2,Lone Star
Texas A & M International University,"Laredo, Texas",NCAA Division 2,Lone Star
Texas A & M University-Commerce,"Commerce, Texas",NCAA Division 2,Lone Star
Texas A & M University-Kingsville,"Kingsville, Texas",NCAA Division 2,Lone Star
Texas Woman's University,"Denton, Texas",NCAA Division 2,Lone Star
The College of Saint Rose,"Albany, New York",NCAA Division 2,Northeast-10
The University of Findlay,"Findlay, Ohio",NCAA Division 2,GMAC
The University of Tampa,"Tampa, Florida",NCAA Division 2,Sunshine State
The University of Texas Permian Basin,"Odessa, Texas",NCAA Division 2,Lone Star
The University of West Florida,"Pensacola, Florida",NCAA Division 2,Gulf South
Tiffin University,"Tiffin, Ohio",NCAA Division 2,GMAC
Trevecca Nazarene University,"Nashville, Tennessee",NCAA Division 2,GMAC
Truman State University,"Kirksville, Missouri",NCAA Division 2,GLVC
Tusculum University,"Greeneville, Tennessee",NCAA Division 2,South Atlantic
